,pair1,pair2,corr_value
229,kilometer,fare,1.0
230,know,add(pow(symbol(x)integer((d)))integer((d))),0.7067356938971816
231,know,cubes,1.0
232,know,factoring,0.8943333765842447
233,kth,a_k,0.8943333765842445
234,la,business,1.0
235,la,cruz,1.0
236,la,de,1.0
237,la,income,0.8162114466032563
238,layer,add(integer((d))mul(integer(-(d))symbol(x))),1.0
239,layer,composed,1.0
240,layer,construction,1.0
241,layer,contains,0.8163539745205176
242,leading,coefficient,0.8655699604693298
243,leaves,add(mul(mul(integer(-(d))symbol(x))symbol(x))mul(integer((d))pow(symbol(x)integer((d))))integer((d))),0.7067356938971816
244,left(x-(d),left(x+(d),1.0
245,like,enclose,1.0
246,like,farmers,1.0
247,like,garden,1.0000000000000004
248,like,impasugong,1.0
249,linear,belong,0.7067356938971819
250,linear,group,0.7067356938971819
251,linear,inequality,0.7067356938971819
252,lita,add(symbol(x)mul(integer(-(d))symbol(x))),1.0
253,lita,chain,1.0
254,lita,crew,1.0
255,lita,earn,1.0
256,lita,earns,1.0
257,lita,hour,0.7067356938971813
258,lita,hours,1.0
259,logs,add(integer((d))mul(integer(-(d))symbol(x))),1.0000000000000007
260,logs,composed,1.0000000000000007
261,logs,construction,1.0000000000000007
262,logs,contains,0.8163539745205198
263,logs,layer,1.0000000000000007
264,longer,less,0.7067356938971817
265,lowest,add(integer((d))mul(integer(-(d))symbol(x))),1.0
266,lowest,composed,1.0
267,lowest,construction,1.0
268,lowest,contains,0.8163539745205176
269,lowest,layer,1.0
270,lowest,logs,1.0000000000000007
271,made,allowance,0.8160676360171512
272,made,continued,0.8160676360171512
273,made,deposits,0.8160676360171512
274,made,jane,0.8160676360171512
275,madison,adds,1.0
276,madison,homework,1.0
277,manages,answer,0.7067356938971817
278,manages,decimal,1.0
279,manages,final,1.0
280,mary,annually,1.0
281,mary,gets,1.0
282,mathematical,building,0.706735693897182
283,mathematical,high,0.706735693897182
284,mathematician,discovered,1.0
285,mathematicians,count,1.0
286,mathematicians,introduced,1.0
287,meet,begins,1.0
288,meet,field,1.0
289,meet,jose,1.0
290,metal,(d)cm,0.9999999999999999
291,metal,box,0.7067356938971818
292,metal,centimeters,1.0
293,metal,dimension,0.816353974520518
294,metal,dimensions,0.7069221412446143
295,metal,enlarged,1.0
296,metal,increased,1.0
297,meters,longer,0.8943333765842455
298,miles,begins,0.9999999999999991
299,miles,field,0.9999999999999991
300,miles,jose,0.9999999999999991
301,miles,meet,0.9999999999999991
302,min,det,1.0
303,min,er,1.0
304,mirasol,day,0.8160676360171516
305,mirasol,end,0.7063636314476659
306,mirasol,january,0.9426990369280185
307,money,blouse,1.0
308,money,buy,0.8943333765842449
309,money,christmas,0.7067356938971815
310,money,costs,1.0
311,money,december,1.0
312,money,doubled,1.0
313,monomials,monomial,0.7067356938971819
314,month,decimal,0.7557594325146626
315,month,final,0.7557594325146626
316,month,january,0.7551402975648276
317,month,manages,0.7557594325146626
318,monthly,annually,0.8160676360171517
319,monthly,gets,0.8160676360171517
320,monthly,mary,0.8160676360171517
321,months,answer,0.7067356938971817
322,months,decimal,1.0
323,months,final,1.0
324,months,manages,1.0
325,months,month,0.7557594325146626
326,morning,(d)m,1.0
327,morning,advised,1.0
328,morning,continue,1.0
329,morning,daily,1.0
330,morning,exercise,1.0
331,mother,blouse,1.0
332,mother,buy,0.8943333765842449
333,mother,christmas,0.7067356938971815
334,mother,costs,1.0
335,mother,december,1.0
336,mother,doubled,1.0
337,mother,money,1.0
338,mr,enclose,1.0
339,mr,farmers,1.0
340,mr,garden,1.0000000000000004
341,mr,impasugong,1.0
342,mr,like,1.0
343,mrs,business,1.0
344,mrs,cruz,1.0
345,mrs,de,1.0
346,mrs,income,0.8162114466032563
347,mrs,la,1.0
348,mul(integer((d))pow(mul(integer((d))symbol(x))integer(-(d)))),add(mul(integer((d))pow(pow(symbol(x)integer((d)))integer(-(d))))pow(symbol(x)integer(-(d)))),1.0
349,mul(integer((d))pow(mul(integer((d))symbol(x))integer(-(d)))),add(mul(integer((d))pow(symbol(x)integer((d))))symbol(x)mul(integer(-(d))mul(integer((d))integer((d))pow(mul(integer((d))symbol(x))mul(integer((d))pow(integer((d))integer(-(d)))))))),1.0
350,mul(integer((d))symbol(x)pow(symbol(x)integer((d)))),(d)cm,0.9999999999999999
351,mul(integer((d))symbol(x)pow(symbol(x)integer((d)))),box,0.7067356938971818
352,mul(integer((d))symbol(x)pow(symbol(x)integer((d)))),centimeters,1.0
353,mul(integer((d))symbol(x)pow(symbol(x)integer((d)))),dimension,0.816353974520518
354,mul(integer((d))symbol(x)pow(symbol(x)integer((d)))),dimensions,0.7069221412446143
355,mul(integer((d))symbol(x)pow(symbol(x)integer((d)))),enlarged,1.0
356,mul(integer((d))symbol(x)pow(symbol(x)integer((d)))),increased,1.0
357,mul(integer((d))symbol(x)pow(symbol(x)integer((d)))),metal,1.0
358,mul(pow(add(mul(integer((d))pow(symbol(x)integer((d))))mul(integer(-(d))symbol(x))mul(integer(-(d))integer((d))))integer(-(d)))add(mul(integer((d))pow(symbol(x)integer((d))))pow(symbol(x)integer((d)))mul(integer(-(d))mul(integer((d))integer((d))symbol(x)))mul(integer(-(d))integer((d))))),hint,1.0
359,mul(pow(function(x)(symbol(x))integer(-(d)))function(x)(symbol(x))),algortihm,1.0
360,mul(pow(symbol(x)integer((d)))add(symbol(x)integer((d)))),mul(pow(symbol(x)integer((d)))add(pow(symbol(x)integer((d)))integer((d)))),1.0
361,mul(pow(symbol(x)integer(-(d)))symbol(x)),exponnts,1.0
362,mul(symbol(x)pow(symbol(x)integer((d)))),mul(pow(symbol(x)integer((d)))pow(symbol(x)integer((d)))),1.0000000000000002
363,mul(symbol(x)pow(symbol(x)integer(-(d)))),integer,0.8160676360171514
364,multiplicity,indicate,0.7756051101203361
365,multiply,follows,1.0
366,municipal,begins,1.0
367,municipal,field,1.0
368,municipal,jose,1.0
369,municipal,meet,1.0
370,municipal,miles,0.9999999999999991
371,must,concept,1.0
372,name,according,0.8756632799893871
373,national,building,1.0
374,national,high,1.0
375,national,mathematical,0.706735693897182
376,negative,count,0.706735693897182
377,negative,introduced,0.706735693897182
378,negative,mathematicians,0.706735693897182
379,negative,may,0.706735693897182
380,new,(d)cm,0.8943333765842454
381,new,centimeters,0.894333376584245
382,new,dimension,0.7297085506602651
383,new,enlarged,0.894333376584245
384,new,increased,0.894333376584245
385,new,metal,0.894333376584245
386,new,mul(integer((d))symbol(x)pow(symbol(x)integer((d)))),0.894333376584245
387,nhs,begins,1.0
388,nhs,field,1.0
389,nhs,jose,1.0
390,nhs,meet,1.0
391,nhs,miles,0.9999999999999991
392,nhs,municipal,1.0
393,november,blouse,1.0
394,november,buy,0.8943333765842449
395,november,christmas,0.7067356938971815
396,november,costs,1.0
397,november,december,1.0
398,november,doubled,1.0
399,november,money,1.0
400,november,mother,1.0
401,numerical,follows,0.7063636314476653
402,numerical,multiply,0.7063636314476653
403,object,covered,0.8160676360171513
404,object,distance,0.7063636314476659
405,object,dropped,1.0
406,object,fallen,1.0
407,object,falls,1.0
408,object,far,0.8160676360171518
409,obtained,blouse,0.7067356938971818
410,obtained,costs,0.7067356938971818
411,obtained,december,0.7067356938971818
412,obtained,doubled,0.7067356938971818
413,obtained,money,0.7067356938971818
414,obtained,mother,0.7067356938971818
415,obtained,november,0.7067356938971818
416,odd,add(mul(symbol(x)symbol(x))mul(symbol(x)symbol(x))),0.7067356938971815
417,opalla,enclose,1.0
418,opalla,farmers,1.0
419,opalla,garden,1.0000000000000004
420,opalla,impasugong,1.0
421,opalla,like,1.0
422,opalla,mr,1.0
423,open,box,0.7067356938971817
424,open,cardboard,1.0
425,open,corner,1.0
426,operation,obtaining,1.0
427,order,concept,1.0
428,order,must,1.0
429,original,(d)cm,0.9999999999999999
430,original,box,0.7067356938971818
431,original,centimeters,1.0
432,original,dimension,0.816353974520518
433,original,dimensions,0.7069221412446143
434,original,enlarged,1.0
435,original,increased,1.0
436,original,metal,1.0
437,original,mul(integer((d))symbol(x)pow(symbol(x)integer((d)))),1.0
438,original,new,0.894333376584245
439,party,bought,1.0
440,party,christmas,0.7067356938971813
441,party,classroom,1.0
442,passenger,fare,1.0
443,passenger,kilometer,1.0
444,pays,fare,1.0
445,pays,kilometer,1.0
446,pays,passenger,1.0
447,pedro,bought,1.0
448,pedro,christmas,0.7067356938971813
449,pedro,classroom,1.0
450,pedro,party,1.0
451,people,hour,0.7067356938971814
452,per,add(symbol(x)mul(integer(-(d))symbol(x))),0.7067356938971813
453,per,chain,0.7067356938971813
454,per,crew,0.7067356938971813
455,per,earn,0.7067356938971813
456,per,earns,0.7067356938971813
457,per,fare,0.7067356938971814
458,per,hours,0.7067356938971813
459,per,kilometer,0.7067356938971814
460,per,lita,0.7067356938971813
461,per,passenger,0.7067356938971814
462,per,pays,0.7067356938971814
463,peso,amount,0.8943333765842448
464,peso,bamboo,1.0
465,peso,bank,0.9999999999999997
466,peso,doubles,1.0
467,peso,fun,1.0
468,peso,inside,1.0
469,peso,joey,1.0
470,pesos,bought,0.8943333765842449
471,pesos,classroom,0.8943333765842449
472,pesos,party,0.8943333765842449
473,pesos,pedro,0.8943333765842449
474,peter,bought,1.0
475,peter,christmas,0.7067356938971813
476,peter,classroom,1.0
477,peter,party,1.0
478,peter,pedro,1.0
479,peter,pesos,0.8943333765842449
480,petri,bacteria,1.0
481,petri,dish,1.0
482,petri,growth,1.0
483,philippine,building,1.0
484,philippine,high,1.0
485,philippine,mathematical,0.706735693897182
486,philippine,national,1.0
487,php,much,0.714879277386614
488,physician,(d)m,1.0
489,physician,advised,1.0
490,physician,continue,1.0
491,physician,daily,1.0
492,physician,exercise,1.0
493,physician,morning,1.0
494,piled,add(integer((d))mul(integer(-(d))symbol(x))),1.0
495,piled,composed,1.0
496,piled,construction,1.0
497,piled,contains,0.8163539745205176
498,piled,layer,1.0
499,piled,logs,1.0000000000000007
500,piled,lowest,1.0
501,places,answer,0.7067356938971817
502,places,decimal,1.0
503,places,final,1.0
504,places,manages,1.0
505,places,month,0.7557594325146626
506,places,months,1.0
507,plane,covered,0.8160676360171513
508,plane,distance,0.7063636314476659
509,plane,dropped,1.0
510,plane,fallen,1.0
511,plane,falls,1.0
512,plane,far,0.8160676360171518
513,plane,object,1.0
514,planning,blouse,1.0
515,planning,buy,0.8943333765842449
516,planning,christmas,0.7067356938971815
517,planning,costs,1.0
518,planning,december,1.0
519,planning,doubled,1.0
520,planning,money,1.0
521,planning,mother,1.0
522,planning,november,1.0
523,planning,obtained,0.7067356938971818
524,playing,cups,1.0
525,playing,game,1.0
526,pow(add(pow(symbol(x)integer((d)))mul(integer((d))pow(symbol(x)integer((d))))mul(integer(-(d))mul(integer((d))integer((d))symbol(x))))mul(integer((d))pow(integer((d))integer(-(d))))),equationnn,1.0
527,power,expressed,1.0
528,power,expressions,0.7067356938971817
529,precedes,cinema,1.0
530,preceding,covered,0.8160676360171513
531,preceding,distance,0.7063636314476659
532,preceding,dropped,1.0
533,preceding,fallen,1.0
534,preceding,falls,1.0
535,preceding,far,0.8160676360171518
536,preceding,object,1.0
537,preceding,plane,1.0
538,present,blouse,1.0
539,present,buy,0.8943333765842449
540,present,christmas,0.7067356938971815
541,present,costs,1.0
542,present,december,1.0
543,present,doubled,1.0
544,present,money,1.0
545,present,mother,1.0
546,present,november,1.0
547,present,obtained,0.7067356938971818
548,present,planning,1.0
549,previous,always,0.7067356938971814
550,previous,ball,0.7067356938971814
551,previous,decimal,0.7067356938971815
552,previous,fifth,0.7067356938971814
553,previous,final,0.7067356938971815
554,previous,manages,0.7067356938971815
555,previous,months,0.7067356938971815
556,previous,places,0.7067356938971815
557,prism,longer,0.816353974520518
558,prism,meters,0.7297085506602656
559,problem,adds,1.0
560,problem,homework,1.0
561,problem,madison,1.0
562,process,multiplication,1.0
563,property,applying,1.0
564,property,easily,1.0
565,provides,add(symbol(x)mul(symbol(x)symbol(x))mul(symbol(x)pow(symbol(x)integer((d))))mul(symbol(x)pow(symbol(x)integer((d))))mul(symbol(x)pow(symbol(x)symbol(x)))symbol(x)),1.0
566,provincial,begins,1.0
567,provincial,field,1.0
568,provincial,jose,1.0
569,provincial,meet,1.0
570,provincial,miles,0.9999999999999991
571,provincial,municipal,1.0
572,provincial,nhs,1.0
573,q(x)+r(x)/d(x),algortihm,1.0
574,q(x)+r(x)/d(x),mul(pow(function(x)(symbol(x))integer(-(d)))function(x)(symbol(x))),1.0
575,quadratic,belong,0.7557594325146625
576,quadratic,group,0.7557594325146625
577,quadratic,inequality,0.7557594325146625
578,quotient,(if,0.9209153817065965
579,quotient,any),0.9209153817065965
580,quotient,division,0.7967398537471698
581,raise,accepted,1.0
582,raise,job,1.0
583,rate,already,1.0
584,rate,another,0.894239444363399
585,rate,ft,1.0
586,rate,ground,0.9426990369280182
587,rebounds,always,1.0
588,rebounds,ball,1.0
589,rebounds,fifth,1.0
590,rebounds,previous,0.7067356938971814
591,recall,concept,1.0
592,recall,must,1.0
593,recall,order,1.0
594,receive,annually,0.8160676360171517
595,receive,gets,0.8160676360171517
596,receive,mary,0.8160676360171517
597,receive,monthly,1.0
598,receives,annual,1.0
599,rectangle,add(mul(integer((d))pow(symbol(x)integer((d))))mul(integer((d))pow(symbol(x)integer((d))))mul(integer((d))pow(symbol(x)integer((d))))mul(integer((d))symbol(x))integer((d))),0.7067356938971824
600,rectangle,centimeter,0.9999999999999999
601,related,closely,0.7067356938971812
602,relationship,building,0.7067356938971819
603,relationship,discovered,0.706735693897182
604,relationship,high,0.7067356938971819
605,relationship,mathematician,0.706735693897182
606,relationship,national,0.7067356938971819
607,relationship,philippine,0.7067356938971819
608,remainder,divided,0.705481290775296
609,remains,(d)cm,0.9999999999999999
610,remains,box,0.7067356938971818
611,remains,centimeters,1.0
612,remains,dimension,0.816353974520518
613,remains,dimensions,0.7069221412446143
614,remains,enlarged,1.0
615,remains,increased,1.0
616,remains,metal,1.0
617,remains,mul(integer((d))symbol(x)pow(symbol(x)integer((d)))),1.0
618,remains,new,0.894333376584245
619,remains,original,1.0
620,removing,box,0.7067356938971817
621,removing,cardboard,1.0
622,removing,corner,1.0
623,removing,open,1.0
624,representative,begins,1.0
625,representative,field,1.0
626,representative,jose,1.0
627,representative,meet,1.0
628,representative,miles,0.9999999999999991
629,representative,municipal,1.0
630,representative,nhs,1.0
631,representative,provincial,1.0
632,representthe,mathematical,0.7067356938971819
633,result,add(symbol(x)mul(integer((d))pow(add(symbol(x)mul(integer(-(d))integer((d))))integer(-(d))))),1.0
634,resulting,add(pow(symbol(x)integer((d)))integer((d))),0.7067356938971817
635,resulting,leaves,0.7067356938971817
636,reverse,multiplication,1.0
637,reverse,process,1.0
638,rico,answer,0.7067356938971817
639,rico,decimal,1.0
640,rico,final,1.0
641,rico,manages,1.0
642,rico,month,0.7557594325146626
643,rico,months,1.0
644,rico,places,1.0
645,rico,previous,0.7067356938971815
646,right),left(x+(d),1.0
647,right),left(x-(d),1.0
648,rise,already,1.0
649,rise,another,0.894239444363399
650,rise,ft,1.0
651,rise,ground,0.9426990369280182
652,rise,rate,1.0
653,rocket,already,1.0
654,rocket,another,0.894239444363399
655,rocket,ft,1.0
656,rocket,ground,0.9426990369280182
657,rocket,rate,1.0
658,rocket,rise,1.0
659,root,rational,0.8178832897590398
660,round,answer,0.7067356938971817
661,round,decimal,1.0
662,round,final,1.0
663,round,manages,1.0
664,round,month,0.7557594325146626
665,round,months,1.0
666,round,places,1.0
667,round,previous,0.7067356938971815
668,round,rico,1.0
669,row,cinema,0.8163539745205176
670,row,precedes,0.8163539745205176
671,rows,additional,0.8160676360171514
672,rows,hall,0.8160676360171514
673,rows,row,0.9426438538380745
674,run,begins,1.0
675,run,field,1.0
676,run,jose,1.0
677,run,meet,1.0
678,run,miles,0.9999999999999991
679,run,municipal,1.0
680,run,nhs,1.0
681,run,provincial,1.0
682,run,representative,1.0
683,running,begins,1.0
684,running,field,1.0
685,running,jose,1.0
686,running,meet,1.0
687,running,miles,0.9999999999999991
688,running,municipal,1.0
689,running,nhs,1.0
690,running,provincial,1.0
691,running,representative,1.0
692,running,run,1.0
693,s_{,infty},1.0
694,salary,accepted,0.7069221412446142
695,salary,job,0.7069221412446142
696,salary,monthly,0.8158524020653709
697,salary,raise,0.7069221412446142
698,salary,receive,0.8158524020653709
699,save,allowance,0.8525589508802293
700,save,continued,0.8525589508802293
701,save,deposits,0.8525589508802293
702,save,jane,0.8525589508802293
703,saved,end,0.7489473684210531
704,saved,january,0.832797787654401
705,saved,mirasol,0.7063636314476658
706,saved,month,0.754962958143439
707,saves,amount,0.7996219281663519
708,saves,bamboo,0.8943333765842448
709,saves,bank,0.8943333765842453
710,saves,doubles,0.8943333765842448
711,saves,fun,0.8943333765842448
712,saves,inside,0.8943333765842448
713,saves,joey,0.8943333765842448
714,saves,peso,0.8943333765842448
715,saving,able,1.0
716,saving,allowance,0.8160676360171515
717,saving,continued,0.8160676360171515
718,saving,deposits,0.8160676360171515
719,saving,jane,0.8160676360171515
720,savings,decimal,0.7067356938971814
721,savings,doubling,0.7067356938971816
722,savings,final,0.7067356938971814
723,savings,manages,0.7067356938971814
724,savings,months,0.7067356938971814
725,savings,places,0.7067356938971814
726,savings,rico,0.7067356938971814
727,savings,round,0.7067356938971814
728,says,adds,1.0
729,says,homework,1.0
730,says,madison,1.0
731,says,problem,1.0
732,school,building,1.0
733,school,high,1.0
734,school,mathematical,0.706735693897182
735,school,national,1.0
736,school,philippine,1.0
737,school,relationship,0.7067356938971819
738,season,blouse,1.0
739,season,buy,0.8943333765842449
740,season,christmas,0.7067356938971815
741,season,costs,1.0
742,season,december,1.0
743,season,doubled,1.0
744,season,money,1.0
745,season,mother,1.0
746,season,november,1.0
747,season,obtained,0.7067356938971818
748,season,planning,1.0
749,season,present,1.0
750,seat,additional,0.706735693897181
751,seat,hall,0.706735693897181
752,seats,cinema,0.7425059400292647
753,seats,precedes,0.7425059400292647
754,seats,row,0.9854866961908824
755,seats,rows,0.9647963380417927
756,seconds,already,0.7063636314476658
757,seconds,dropped,0.7063636314476658
758,seconds,fallen,0.7063636314476658
759,seconds,falls,0.7063636314476658
760,seconds,feet,0.7704877472030389
761,seconds,ft,0.7063636314476658
762,seconds,object,0.7063636314476658
763,seconds,plane,0.7063636314476658
764,seconds,preceding,0.7063636314476658
