,question,label
21,The sum of the first Integer((d)) terms of an arithmetic sequence is Integer((d)) If the first term is Integer((d)) what is the common difference,series_and_sequence
22,Find the sum of The first Integer((d)) terms of (d)+(d)+(d)+…,series_and_sequence
23,Find the sum of The first Integer((d)) terms of (d)+(d)+(d)+…,series_and_sequence
24,Find the sum of The first Integer((d)) terms of (d)+(d)+(d)+…,series_and_sequence
25,Find the sum of The first Integer((d)) terms of (d)+(d)+(d)+…,series_and_sequence
26,Find the sum of The first Integer((d)) terms of -(d)+(-(d))+(d)+…,series_and_sequence
27,S_n Integer(-(d)) Symbol(x) Integer((d)) a_n Integer(-(d)) Symbol(x),series_and_sequence
28,S_n Integer((d)) Symbol(x) Integer((d)) a_n Integer((d)) Symbol(x),series_and_sequence
29,S_n Integer(-(d)) Symbol(x) Integer((d)) Symbol(x) Integer(-(d)) Symbol(x),series_and_sequence
30,S_n Integer((d)) Symbol(x) Integer((d)) Symbol(x) (d)n,series_and_sequence
31,Find the sum of the first Integer((d)) terms of the sequence −(d) −(d) Integer((d)) Integer((d)) …,series_and_sequence
32,Find the sum of the first Integer((d)) terms of the arithmetic sequence Integer((d)) Integer((d)) Integer((d)) Integer((d)) …,series_and_sequence
33,Find the sum of the first Integer((d)) terms of the arithmetic sequence −(d) Integer((d)) Integer((d)) Integer((d)) …,series_and_sequence
34,Find the sum of the first Integer((d)) terms of the arithmetic sequence Integer((d)) Integer((d)) Integer((d)) Integer((d)) …,series_and_sequence
35,Find the sum of the integers from Integer((d)) and Integer((d)),series_and_sequence
36,Find the sum of all even integers from Integer((d)) to Integer((d)),series_and_sequence
37,Find the sum of all odd integers from Integer((d)) to Integer((d)),series_and_sequence
38,Find the sum of the integers from Integer((d)) to Integer((d)) and are divisible by Integer((d)),series_and_sequence
39,If the sum of the first Integer((d)) terms of an arithmetic sequence is Integer((d)) and its common difference is Integer((d)) what is the first term,series_and_sequence
40,If the sum of the first Integer((d)) terms of an arithmetic sequence is Integer((d)) and its first term is Integer((d)) what is the common difference,series_and_sequence
41,Suppose Symbol(x) cinema has Integer((d)) rows of seats and there are Integer((d)) seats in the first row Each row after the first row has two more seats that the row that it precedes How many seats are in the cinema,series_and_sequence
42,Symbol(x) Add(Integer((d))Mul(Integer(-(d))Symbol(x))) of logs is being piled to be used on Symbol(x) construction The uppermost layer is composed of Integer((d)) logs the second upper layer contains Integer((d)) logs and the third upper layer contains Integer((d)) logs and so on If the pattern continues up to the lowest layer what is the total number of logs piled for construction,series_and_sequence
43,Which of the following is Symbol(x) formula for arithmetic series,series_and_sequence
44,Find the sum of the first Integer((d)) terms of the arithmetic sequence Integer((d)) Integer((d)) Integer((d)) …,series_and_sequence
45,Find the sum of the first Integer((d)) terms of the arithmetic sequence Integer((d)) Integer((d)) Integer((d)) Integer((d)) …,series_and_sequence
46,The sum of the first Integer((d)) terms of an arithmetic sequence is Integer((d)) What is the first term if the last term is Integer((d)) and the common difference is Integer((d)),series_and_sequence
47,The second term of an arithmetic sequence is −(d) and the eighth term is Integer((d)) What is the sum of the first Integer((d)) terms,series_and_sequence
48,Find the sum of the first Integer((d)) terms of the arithmetic sequence if the first term is Integer((d)) and the tenth term is Integer((d)),series_and_sequence
49,Find the sum of the first (d)th terms of the arithmetic sequence whose nth term is a_n Add(Mul(Integer((d))Symbol(x))Integer((d))),series_and_sequence
50,The first term of an arithmetic sequence is Integer((d)) the last term is Integer((d)) and the sum is Integer((d)) Find the number of terms,series_and_sequence
51,If the first Symbol(x) terms of the arithmetic sequence Integer((d)) Integer((d)) Integer((d)) are added how many of these terms will be added to get Symbol(x) sum of −(d),series_and_sequence
52,Symbol(x) yaya receives Symbol(x) starting annual salary of Php Integer((d)) with Symbol(x) yearly increase of Php Integer((d)) What is her total income for Integer((d)) years,series_and_sequence
53,Jane was saving for Symbol(x) pair of shoes From her weekly allowance she was able to save Php Integer((d)) on the first week Php Integer((d)) on the second Php Integer((d)) on the third week and so on If she continued saving in this pattern and made Integer((d)) deposits how much did Jane save,series_and_sequence
54,Mary gets Symbol(x) starting monthly salary of Php Integer((d)) and an increase of Php Integer((d)) annually How much income did she receive for the first four years,series_and_sequence
55,Mirasol saved Php Integer((d)) on the first day of January Php Integer((d)) on the second day Php Integer((d)) on the third day and so on up to the last day of the month How much did Mirasol save at the end of January,series_and_sequence
56,Mrs De la Cruz started her business with an income of Php Integer((d)) for the first year and an increase of Php Integer((d)) yearly How much is the total income of Mrs De la Cruz for Integer((d)) years since she started her business,series_and_sequence
57,Symbol(x) hall has Integer((d)) rows Each successive row contains two additional seats If the first row has Integer((d)) seats how many seats are in the hall,series_and_sequence
58,Which of the following does not show Symbol(x) sequence,series_and_sequence
59,Which of the following is Symbol(x) finite sequence,series_and_sequence
60,What is the (d)th term in the sequence −(d)−(d)−(d),series_and_sequence
61,Find the first four terms of the sequence a_n Add(Mul(Integer((d))Symbol(x))Mul(Integer(-(d))Integer((d)))),series_and_sequence
62,What is the (d)th term of the sequence Add(Mul(Pow(Integer(-(d))Symbol(x))Pow(Pow(Symbol(x)Integer((d)))Integer(-(d))))Symbol(x)),series_and_sequence
63,What rule will correctly describe the sequence (d)\ldots,series_and_sequence
64,Find the nth term of the sequence Mul(Integer(-(d))Integer((d))Pow(Integer((d))Integer(-(d)))) Mul(Integer((d))Pow(Integer((d))Integer(-(d)))) Mul(Integer(-(d))Integer((d))Pow(Integer((d))Integer(-(d)))) Mul(Integer((d))Pow(Integer((d))Integer(-(d)))) Mul(Integer(-(d))Integer((d))Pow(Integer((d))Integer(-(d)))),series_and_sequence
65,What are the next four terms of the sequence Integer((d)),series_and_sequence
66,Consider the figures below what is the nth term of the sequence,series_and_sequence
67,Which numerical pattern follows the rule “subtract Integer((d)) then multiply by (d)”when starting with Integer((d)),series_and_sequence
68,Which is the next ordered pair in the pattern Integer((d)) Integer((d)) Integer((d)),series_and_sequence
69,In the sequence a_n Mul(Pow(Integer(-(d))Add(Symbol(x)Integer((d))))Pow(Symbol(x)Integer(-(d)))Add(Symbol(x)Integer((d)))Add(Symbol(x)Mul(Integer(-(d))Integer((d))))) what is Symbol(x),series_and_sequence
70,What is the rule for this pattern (d)st term Integer((d)) (d)nd term Integer((d)) (d)rd term Integer((d)),series_and_sequence
71,Which of the following patterns show infinite sequence,series_and_sequence
72,Madison has the number pattern [Integer((d))] for Symbol(x) homework problem She says that the number pattern adds Integer((d)) to the first number and then subtracts Integer((d)) to get the next number Did Madison correctly describe the pattern,series_and_sequence
73,Which of the following shows Symbol(x) pattern,series_and_sequence
74,Which of the following defines infinite sequence,series_and_sequence
75,What are the next three terms of the sequence Integer((d)),series_and_sequence
76,What is the (d)th term of the sequence a_n Mul(Pow(Integer(-(d))Symbol(x))Pow(Pow(Symbol(x)Integer((d)))Integer(-(d)))),series_and_sequence
77,What is the (d)th term in the sequence −(d)−(d)−(d),series_and_sequence
78,Find the first four terms of the sequence a_n Add(Mul(Integer((d))Symbol(x))Integer((d))),series_and_sequence
79,Which numerical pattern follows the rule “subtract Integer((d)) then multiply by (d)”when starting with Integer((d)),series_and_sequence
80,What rule will correctly describe the sequence (d)\dots,series_and_sequence
81,Find the nth term of the sequence Mul(Integer(-(d))Integer((d))Pow(Integer((d))Integer(-(d)))) Mul(Integer((d))Pow(Integer((d))Integer(-(d)))) Mul(Integer(-(d))Integer((d))Pow(Integer((d))Integer(-(d)))) Mul(Integer((d))Pow(Integer((d))Integer(-(d)))) Mul(Integer(-(d))Integer((d))Pow(Integer((d))Integer(-(d)))),series_and_sequence
82,Which is the next ordered pair in the pattern Integer((d)) Integer((d)) Integer((d)),series_and_sequence
83,What is the (d)th term in the sequence Add(Mul(Integer(-(d))Integer((d)))Mul(Integer(-(d))Integer((d)))Mul(Integer(-(d))Integer((d)))Integer((d))),series_and_sequence
84,In the sequence a_n Mul(Pow(Integer(-(d))Add(Symbol(x)Integer((d))))Pow(Symbol(x)Integer(-(d)))Add(Symbol(x)Integer((d)))Add(Symbol(x)Mul(Integer(-(d))Integer((d))))) what is a_{(d)},series_and_sequence
85,Which of the following patterns shows finite sequence,series_and_sequence
86,Find the general term of the sequence (d)…,series_and_sequence
87,Write the first four terms of the sequence a_n Add(Pow(Symbol(x)Integer((d)))Mul(Integer(-(d))Integer((d)))),series_and_sequence
88,What are the first four terms of sequence a_n Symbol(x),series_and_sequence
89,What are the first four terms of sequence a_n Mul(Symbol(x)Pow(Add(Symbol(x)Integer((d)))Integer(-(d)))),series_and_sequence
90,What are the first four terms of sequence a_n Mul(Pow(Integer(-(d))Add(Symbol(x)Integer((d))))Pow(Symbol(x)Integer((d)))),series_and_sequence
91,What are the first four terms of sequence a_n Mul(Pow(Integer((d))Integer(-(d)))Symbol(x)Add(Symbol(x)Integer((d)))),series_and_sequence
92,a_n Pow(Mul(Integer((d))Pow(Integer((d))Integer(-(d))))Symbol(x)) What is Symbol(x),series_and_sequence
93,a_n Mul(Pow(Add(Symbol(x)Integer((d)))Integer((d)))Pow(Add(Symbol(x)Mul(Integer(-(d))Integer((d))))Integer(-(d)))) What is a_{(d)},series_and_sequence
94,a_n Mul(Pow(Integer(-(d))Add(Symbol(x)Integer((d))))Pow(Symbol(x)Integer(-(d)))Add(Symbol(x)Integer((d)))Add(Symbol(x)Mul(Integer(-(d))Integer((d))))) What is Symbol(x),series_and_sequence
95,a_n Pow(Add(Mul(Pow(Integer((d))Integer(-(d)))Symbol(x))Mul(Integer(-(d))Integer((d))))Symbol(x)) What is a_{(d)},series_and_sequence
96,Write an expression for the nth term of the given sequence Assume Symbol(x) starts at Integer((d)) Sequence Integer((d)) Integer((d)) Integer((d)) Integer((d)) Integer((d)),series_and_sequence
97,Write an expression for the nth term of the given sequence Assume Symbol(x) starts at Integer((d)) Sequence Integer((d)) Integer(-(d)) Integer((d)) Integer(-(d)) Integer((d)),series_and_sequence
98,Write an expression for the nth term of the given sequence Assume Symbol(x) starts at Integer((d)) Sequence Integer((d)),series_and_sequence
99,Write an expression for the nth term of the given sequence Assume Symbol(x) starts at Integer((d)) Sequence Mul(Integer((d))Pow(Mul(Integer((d))Integer((d)))Integer(-(d)))) Mul(Integer((d))Pow(Mul(Integer((d))Integer((d)))Integer(-(d)))) Mul(Integer((d))Pow(Mul(Integer((d))Integer((d)))Integer(-(d)))) Mul(Integer((d))Pow(Mul(Integer((d))Integer((d)))Integer(-(d)))) Mul(Integer((d))Pow(Mul(Integer((d))Integer((d)))Integer(-(d)))),series_and_sequence
100,Which of the following is Symbol(x) correct description of an arithmetic sequence,series_and_sequence
101,Which of the following is the common difference of the arithmetic sequence (d)\dots,series_and_sequence
102,Whati is the common difference in the sequence Integer(-(d)) Integer((d)) Integer((d)) Integer((d)) \dots,series_and_sequence
103,Which of the following is the missing term of the arithmetic sequence-(d)-(d) blank-(d)-(d)\dots,series_and_sequence
104,Which of the following of the common difference of the arithmetic sequence Add(Mul(Integer(-(d))Integer((d)))Mul(Integer(-(d))Integer((d)))Mul(Integer(-(d))Integer((d)))Integer(-(d))),series_and_sequence
105,Which of the following is the common difference in the arithmetic sequence Mul(Integer((d))Pow(Integer((d))Integer(-(d)))) Integer((d)) Mul(Integer((d))Pow(Integer((d))Integer(-(d)))) Integer((d)),series_and_sequence
106,Which of the following is an arithmetic sequence,series_and_sequence
107,Which of the following is the common difference of an arithmetic sequence whose Symbol(x) Integer((d)) Symbol(x) Integer((d)),series_and_sequence
108,Which of the following is the common difference of the arithmetic sequence Add(Mul(Integer((d))Symbol(x))Mul(Integer(-(d))Integer((d)))) Mul(Integer((d))Symbol(x)) Add(Mul(Integer((d))Symbol(x))Integer((d))) x\dots,series_and_sequence
109,Which of the following is the first positive term of the arithmetic sequence Integer(-(d)) Integer(-(d)) -(d)\dots,series_and_sequence
110,Which of the following is the value of Symbol(x) to make Add(Mul(Integer((d))Symbol(x))Integer((d))) Mul(Integer((d))Symbol(x)) Add(Mul(Integer((d))Symbol(x))Integer((d))) \dots an arithmetic sequence,series_and_sequence
111,Which of the following is not an arithmetic sequence,series_and_sequence
112,Which of the following is not an arithmetic sequence,series_and_sequence
113,Which of the following is not true about the arithmetic sequence Integer((d)) Integer((d)) Integer((d)) Integer(-(d)) Integer(-(d)) …,series_and_sequence
114,I was advised by my physician to walk each day in the morning as my daily exercise On my first day I walked (d)m On the second and third day I walked (d)m and (d)m respectively and so on Which of the following is the distance I walked on the (d)th day if I continue the pattern in my daily walk,series_and_sequence
115,Which of the following describes an arithmetic sequence,series_and_sequence
116,Which of the following is the common difference in the sequence (d),series_and_sequence
117,Which of the following is the common difference in the sequence Integer((d)) Integer(-(d)) -(d)\dots,series_and_sequence
118,Which of the missing term in this arithmetic sequence Integer((d)) Integer((d)) Integer((d)) Integer((d)) Integer((d)) __ Integer(-(d)) Integer(-(d)),series_and_sequence
119,Which of the following is the common difference in the sequence Integer(-(d)) Integer(-(d)) Integer(-(d)) Integer((d)) (d)\dots,series_and_sequence
120,Which of the following is the common difference in the arithmetic sequence Integer((d)) Mul(Integer((d))Pow(Integer((d))Integer(-(d)))) Mul(Integer((d))Pow(Integer((d))Integer(-(d)))) Mul(Integer((d))Pow(Integer((d))Integer(-(d)))),series_and_sequence
121,Which of the following is an arithmetic sequence,series_and_sequence
122,Which of the following is the common difference of an arithmetic sequence if Symbol(x) Integer((d)) and Symbol(x) Integer((d)),series_and_sequence
123,Which of the following is the common difference of the arithmetic sequence Add(Mul(Integer((d))Symbol(x))Integer((d))) Add(Mul(Integer((d))Symbol(x))Integer((d))) Add(Mul(Integer((d))Symbol(x))Integer((d))) \dots,series_and_sequence
124,Which of the following is the first positive term of the arithmetic sequence Integer(-(d)) Integer(-(d)) Integer(-(d)),series_and_sequence
125,Which of the following is the value of Symbol(x) so that the terms Add(Mul(Integer((d))Symbol(x))Integer((d))) Add(Mul(Integer((d))Symbol(x))Integer((d))) Add(Mul(Integer((d))Symbol(x))Mul(Integer(-(d))Integer((d)))) \dots form an arithmetic sequence,series_and_sequence
126,Which of the following is NOT an arithmetic sequence,series_and_sequence
127,Which of the following is NOT an arithmetic sequence,series_and_sequence
128,Which is NOT true about the arithmetic sequence Integer((d)) Integer((d)) Integer((d)) Integer((d)),series_and_sequence
129,During Symbol(x) Add(Mul(Integer(-(d))Symbol(x))Symbol(x)) Symbol(x) sky diver jumps Integer((d)) feet Integer((d)) feet and Integer((d)) feet on the first second and third fall respectively If he continues to jump at this pattern how many feet will he have jumped during the tenth fall,series_and_sequence
130,Determine if the sequence is arithmetic or not If it is find the common difference and the next three terms of the sequence -(d)…,series_and_sequence
131,Which term of the arithmetic sequence Integer((d)) Integer((d)) Integer((d)) Integer((d)) is Integer((d)),series_and_sequence
132,Find the nth term of the arithmetic sequence given the following conditions Symbol(x) Integer((d)) Symbol(x) Integer((d)) Symbol(x) Integer((d)),series_and_sequence
133,Which term of the arithmetic sequence Integer((d)) Integer((d)) (d)… is Integer((d)),series_and_sequence
134,If three arithmetic means are inserted between Integer(-(d)) and Integer((d)) find the first of these arithmetic means,series_and_sequence
135,Find the (d)st term of the arithmetic sequence Integer((d)) Integer((d)) Integer((d)) (d)…,series_and_sequence
136,If three arithmetic means are inserted between Integer((d)) and Integer((d)) find the second arithmetic mean,series_and_sequence
137,Which term of the arithmetic sequence Integer((d)) Mul(Integer((d))Pow(Integer((d))Integer(-(d)))) Mul(Integer((d))Pow(Integer((d))Integer(-(d)))) is Integer(-(d)),series_and_sequence
138,What is the arithmetic mean between Integer((d)) and Integer((d)),series_and_sequence
139,What is the (d)th term of the following arithmetic sequence Integer(-(d)) Integer(-(d)) Integer((d)) Integer((d)) (d)…,series_and_sequence
140,Insert two arithmetic means between Pow(Integer((d))Mul(Integer((d))Pow(Integer((d))Integer(-(d))))) and Mul(Integer((d))Pow(Integer((d))Mul(Integer((d))Pow(Integer((d))Integer(-(d)))))) Which of the following is the first arithmetic mean,series_and_sequence
141,If Symbol(x) Integer(-(d)) and a_{(d)} Integer(-(d)) Find a_{(d)},series_and_sequence
142,If Symbol(x) Integer((d)) and a_{(d)} Integer((d)) and a_k Integer((d)) then what is the value of Symbol(x),series_and_sequence
143,Insert Integer((d)) arithmetic means between Integer((d)) and Integer((d)),series_and_sequence
144,After one second Symbol(x) rocket is Integer((d)) ft above the ground After another second it is Integer((d)) feet above the ground Then after another second it is already Integer((d)) feet above the ground If it continues to rise at this rate how many feet above the ground will the rocket be after Integer((d)) seconds,series_and_sequence
145,An object is dropped from Symbol(x) plane and falls Integer((d)) feet during the first second For each succeeding second it falls Integer((d)) feet more than the distance covered in the preceding second How far has it fallen after Integer((d)) seconds,series_and_sequence
146,Find the (d)th term of sequence Integer((d)) Integer((d)) Integer((d)) …,series_and_sequence
147,Find the (d)th term of sequence Integer((d)) Integer((d)) Integer((d)) …,series_and_sequence
148,Find the (d)th term of sequence Integer((d)) Mul(Integer((d))Pow(Integer((d))Integer(-(d)))) Integer((d)) …,series_and_sequence
149,Find the (d)th term of sequence Integer((d)) Integer((d)) Integer((d)) …,series_and_sequence
150,Find the (d)th term of sequence Integer((d)) Integer((d)) Integer((d)) …,series_and_sequence
151,(d)rd term of the arithmetic sequence if Symbol(x) Integer(-(d)) and Symbol(x) Integer(-(d)),series_and_sequence
152,(d)th term of the arithmetic sequence if Symbol(x) Integer((d)) and Symbol(x) Integer(-(d)),series_and_sequence
153,(d)th term of the arithmetic sequence if Symbol(x) Mul(Integer((d))Pow(Integer((d))Integer(-(d)))) and Symbol(x) Mul(Integer(-(d))Integer((d))Pow(Integer((d))Integer(-(d)))),series_and_sequence
154,In the sequence Integer((d)) Integer((d)) Integer((d)) … find Symbol(x) if the nth term is Integer((d)),series_and_sequence
155,In the sequence Integer((d)) Mul(Integer((d))Pow(Integer((d))Integer(-(d)))) Mul(Integer((d))Pow(Integer((d))Integer(-(d)))) find Symbol(x) if the nth term is Integer(-(d)),series_and_sequence
156,Find Symbol(x) term of the sequence if Symbol(x) Integer((d)) and a_{(d)} Integer(-(d)),series_and_sequence
157,Find (d)th term of the sequence if a_{(d)} Integer((d)) and a_{(d)} Integer((d)),series_and_sequence
158,If Symbol(x) Integer(-(d)) a_{(d)} Integer(-(d)) what is the value of a_{(d)},series_and_sequence
159,What is the general formula of finding the nth term of an arithmetic sequence,series_and_sequence
160,The (d)th term of the arithmetic sequence if Symbol(x) Integer(-(d)) and Symbol(x) Integer((d)),series_and_sequence
161,The (d)th term of the arithmetic sequence if Symbol(x) Integer((d)) and Symbol(x) Mul(Integer((d))Pow(Integer((d))Integer(-(d)))),series_and_sequence
162,Find the (d)st term of sequence Integer((d)) Integer((d)) Integer((d)) …,series_and_sequence
163,Find the (d)rd term of sequence Integer((d)) Integer((d)) (d)…,series_and_sequence
164,Find the (d)th term of sequence Integer((d)) Integer((d)) -(d)…,series_and_sequence
165,Find the (d)th term of sequence Integer((d)) Integer((d)) (d)…,series_and_sequence
166,Find the (d)th term of sequence Integer((d)) Integer((d)) (d)…,series_and_sequence
167,In the sequence (d) (d) (d) … find Symbol(x) if the nth term is Integer((d)),series_and_sequence
168,In the sequence Integer((d)) Integer((d)) Integer((d)) … what term has Symbol(x) value of Integer(-(d)),series_and_sequence
169,In the sequence Integer((d)) Integer((d)) Integer((d)) Integer((d)) … what Symbol(x) corresponds to a_n Integer((d)),series_and_sequence
170,Find (d)st term of the sequence if Symbol(x) Integer((d)) and a_{(d)} Integer((d)),series_and_sequence
171,If a_{(d)} Integer((d)) and a_{(d)} Integer((d)) what is Symbol(x),series_and_sequence
172,What is the arithmetic mean between Integer((d)) and Integer((d)),series_and_sequence
173,What is the arithmetic mean between Add(Mul(Integer((d))Pow(Symbol(x)Integer((d))))Integer((d))) and Add(Pow(Symbol(x)Integer((d)))Mul(Integer(-(d))Integer((d)))),series_and_sequence
174,What is the arithmetic mean between Integer(-(d)) and Integer((d)),series_and_sequence
175,What is the arithmetic mean between Add(Mul(Integer((d))Symbol(x))Mul(Integer((d))Symbol(x))) and Add(Symbol(x)Mul(Integer(-(d))Mul(Integer((d))Integer((d))Symbol(x)))),series_and_sequence
176,What is the arithmetic mean between Integer((d)) and Integer((d)),series_and_sequence
177,Three arithmetic means between Integer((d)) and Integer((d)),series_and_sequence
178,Four arithmetic means between Integer((d)) and Integer((d)),series_and_sequence
179,Two arithmetic means between Integer((d)) and Integer((d)),series_and_sequence
180,Two arithmetic means between Integer(-(d)) and Integer((d)),series_and_sequence
181,Two arithmetic means between Integer((d)) and Integer((d)),series_and_sequence
182,Find the missing term of the arithmetic sequence Integer((d)) Integer((d)),series_and_sequence
183,Find the missing term of the arithmetic sequence Integer((d)) Mul(Integer((d))Pow(Integer((d))Integer(-(d)))),series_and_sequence
184,Find the missing terms of the arithmetic sequence Integer((d)),series_and_sequence
185,Find the missing terms of the arithmetic sequence Integer(-(d)),series_and_sequence
186,Find the missing terms of the arithmetic sequence Integer(-(d)),series_and_sequence
187,What is the arithmetic mean between the given arithmetic extremes Integer((d)) and Integer((d)),series_and_sequence
188,What is the arithmetic mean between the given arithmetic extremes Mul(Integer((d))Pow(Integer((d))Integer(-(d)))) and Mul(Integer((d))Pow(Integer((d))Integer(-(d)))),series_and_sequence
189,What is the arithmetic mean between the given arithmetic extremes Mul(Integer((d))Symbol(x)) and Mul(Integer((d))Symbol(x)),series_and_sequence
190,What is the arithmetic mean between the given arithmetic extremes Mul(Integer((d))Pow(Integer((d))Mul(Integer((d))Pow(Integer((d))Integer(-(d)))))) and Mul(Integer((d))Pow(Integer((d))Mul(Integer((d))Pow(Integer((d))Integer(-(d)))))),series_and_sequence
191,What is the arithmetic mean between the given arithmetic extremes Add(Mul(Integer(-(d))Integer((d))Pow(Integer((d))Mul(Integer((d))Pow(Integer((d))Integer(-(d))))))Integer((d))) and Add(Integer((d))Mul(Integer((d))Pow(Integer((d))Mul(Integer((d))Pow(Integer((d))Integer(-(d))))))),series_and_sequence
192,Three arithmetic means between Integer((d)) and Integer((d)),series_and_sequence
193,Three arithmetic means between Integer(-(d)) and Integer((d)),series_and_sequence
194,Four arithmetic means between Integer((d)) and Integer(-(d)),series_and_sequence
195,Five arithmetic means between Integer((d)) and Integer(-(d)),series_and_sequence
196,Two arithmetic means between Mul(Integer((d))Pow(Integer((d))Mul(Integer((d))Pow(Integer((d))Integer(-(d)))))) and Mul(Integer((d))Pow(Integer((d))Mul(Integer((d))Pow(Integer((d))Integer(-(d)))))),series_and_sequence
197,Find the missing term of arithmetic sequence Symbol(x) Mul(Integer((d))Symbol(x)),series_and_sequence
198,Find the missing terms of arithmetic sequence Integer((d)) Integer((d)),series_and_sequence
199,Find the missing terms of arithmetic sequence Integer((d)) Integer((d)) Integer((d)),series_and_sequence
200,Find the missing term of arithmetic sequence Integer((d)) Integer((d)),series_and_sequence
201,Which term of the arithmetic sequence Integer((d)) Integer((d)) Integer((d)) Integer((d)) … is Integer((d)),series_and_sequence
202,Find the nth term of the arithmetic sequence given the following conditions Symbol(x) Integer((d)) Symbol(x) Integer((d)) Symbol(x) Integer((d)),series_and_sequence
203,Which term of the arithmetic sequence Integer((d)) Integer((d)) Integer((d)) (d)… is Integer((d)),series_and_sequence
204,If three arithmetic means are inserted between Integer(-(d)) and Integer((d)) find the first of these arithmetic means,series_and_sequence
205,Find the (d)th term of the arithmetic sequence Integer((d)) Integer((d)) Integer((d)) Integer((d)) (d)…,series_and_sequence
206,If three arithmetic means are inserted between Integer((d)) and Integer((d)) find the second arithmetic mean,series_and_sequence
207,Which term of the arithmetic sequence Integer((d)) Integer((d)) Integer(-(d)) Integer(-(d)) … is Integer(-(d)),series_and_sequence
208,What is the arithmetic mean between Integer((d)) and Integer((d)),series_and_sequence
209,What is the (d)th term of the following arithmetic sequence Integer(-(d)) Integer(-(d)) Integer((d)) Integer((d)) (d)…,series_and_sequence
210,Which of the following is an arithmetic mean between Add(Integer((d))Mul(Integer(-(d))Pow(Integer((d))Mul(Integer((d))Pow(Integer((d))Integer(-(d))))))) and Add(Integer((d))Mul(Integer(-(d))Pow(Integer((d))Mul(Integer((d))Pow(Integer((d))Integer(-(d))))))),series_and_sequence
211,If Symbol(x) Integer(-(d)) and Symbol(x) Integer((d)) Find a_{(d)},series_and_sequence
212,If Symbol(x) Integer((d)) and Symbol(x) Integer((d)) and a_k is the kth term of the sequence and a_k Integer(-(d)) then what is the value of Symbol(x),series_and_sequence
213,Insert Integer((d)) arithmetic means between Integer((d)) and Integer((d)),series_and_sequence
214,After one second Symbol(x) rocket is Integer((d)) ft above the ground After another second it is Integer((d)) feet above the ground Then after another second it is already Integer((d)) feet above the ground If it continues to rise at this rate how many feet above the ground will the rocket be after Integer((d)) seconds,series_and_sequence
215,Jose is the track and field representative of the Municipal NHS for the provincial meet He begins training by running Integer((d)) miles during the first week Integer((d)) miles during the second week and Integer((d)) miles on the third week If his training pattern continues how far will he run on the tenth week,series_and_sequence
216,You have accepted Symbol(x) job with Symbol(x) salary of Symbol(x) Symbol(x) month during the first year At the end of each year you receive Symbol(x) Symbol(x) raise What is your monthly salary during the first six years,series_and_sequence
